"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2121.55498640709
"2","member","Sunday",887.98796148486
"3","casual","Monday",1831.85590083498
"4","member","Monday",758.758714057063
"5","casual","Tuesday",1574.68781403971
"6","member","Tuesday",736.766655423624
"7","casual","Wednesday",1599.57523133566
"8","member","Wednesday",738.605595387902
"9","casual","Thursday",1662.62781932958
"10","member","Thursday",746.61201567227
"11","casual","Friday",1726.92699371335
"12","member","Friday",766.992807210624
"13","casual","Saturday",2010.68978190408
"14","member","Saturday",877.462750700089
